,Unnamed: 0.1,Unnamed: 0,time,open,high,low,close,volume,Stock
0,0,0,2023-04-05 20:00:00,210.71,210.8,210.5201,210.5201,1897,META
1,1,1,2023-04-05 19:45:00,210.78,210.8,210.33,210.7999,3769,META
2,2,2,2023-04-05 19:30:00,210.75,210.88,210.75,210.87,979,META
3,3,3,2023-04-05 19:15:00,210.72,210.72,210.6,210.7,1543,META
4,4,4,2023-04-05 19:00:00,210.3,210.98,210.3,210.98,906,META
5,5,5,2023-04-05 18:45:00,211.02,211.03,210.21,210.21,4926,META
6,6,6,2023-04-05 18:30:00,211.1,211.17,211.0,211.17,3385,META
7,7,7,2023-04-05 18:15:00,211.19,211.25,211.15,211.15,1877,META
8,8,8,2023-04-05 18:00:00,211.25,211.29,211.25,211.27,1349,META
9,9,9,2023-04-05 17:45:00,211.2,211.2,211.15,211.15,693,META
10,10,10,2023-04-05 17:30:00,211.48,211.48,211.15,211.15,19676,META
11,11,11,2023-04-05 17:15:00,211.18,211.25,211.18,211.25,613,META
12,12,12,2023-04-05 17:00:00,211.27,211.27,211.16,211.17,2704,META
13,13,13,2023-04-05 16:45:00,211.28,211.46,211.26,211.26,881,META
14,14,14,2023-04-05 16:30:00,211.45,211.46,211.35,211.35,2932,META
15,15,15,2023-04-05 16:15:00,211.51,211.51,211.29,211.46,290415,META
16,16,16,2023-04-05 16:00:00,211.145,211.78,210.91,211.5,1074294,META
17,17,17,2023-04-05 15:45:00,210.66,211.16,210.39,211.14,745145,META
18,18,18,2023-04-05 15:30:00,210.84,211.285,210.62,210.65,645557,META
19,19,19,2023-04-05 15:15:00,211.73,211.828,210.82,210.8381,429859,META
20,20,20,2023-04-05 15:00:00,211.63,211.9299,211.5544,211.74,402764,META
21,21,21,2023-04-05 14:45:00,211.17,211.85,211.14,211.62,432259,META
22,22,22,2023-04-05 14:30:00,211.52,211.6373,210.99,211.1948,337632,META
23,23,23,2023-04-05 14:15:00,211.24,211.6421,211.175,211.52,558949,META
24,24,24,2023-04-05 14:00:00,211.11,211.38,210.94,211.24,252443,META
25,25,25,2023-04-05 13:45:00,210.98,211.3484,210.97,211.11,348246,META
26,26,26,2023-04-05 13:30:00,210.52,211.1501,210.505,210.96,379796,META
27,27,27,2023-04-05 13:15:00,210.25,210.6299,209.94,210.505,478216,META
28,28,28,2023-04-05 13:00:00,210.4,210.57,210.21,210.2173,347091,META
29,29,29,2023-04-05 12:45:00,210.805,210.84,210.16,210.4017,605491,META
30,30,30,2023-04-05 12:30:00,210.98,211.2466,210.67,210.81,546347,META
31,31,31,2023-04-05 12:15:00,210.84,211.32,210.45,210.98,578789,META
32,32,32,2023-04-05 12:00:00,210.907,211.11,210.75,210.85,480205,META
33,33,33,2023-04-05 11:45:00,211.25,211.8,210.9001,210.91,724783,META
34,34,34,2023-04-05 11:30:00,210.98,211.4399,210.78,211.225,643899,META
35,35,35,2023-04-05 11:15:00,211.05,211.6157,210.79,211.0,778750,META
36,36,36,2023-04-05 11:00:00,212.06,212.14,211.01,211.0665,1009222,META
37,37,37,2023-04-05 10:45:00,213.08,213.62,212.0247,212.09,924752,META
38,38,38,2023-04-05 10:30:00,213.36,213.67,213.0201,213.1032,624540,META
39,39,39,2023-04-05 10:15:00,214.08,214.48,212.54,213.3651,1172466,META
40,40,40,2023-04-05 10:00:00,214.48,214.54,213.48,214.08,805573,META
