time,open,high,low,close,volume
2023-04-05 20:00:00,27.36,27.4,27.36,27.4,505
2023-04-05 19:45:00,27.48,27.48,27.48,27.48,646
2023-04-05 19:00:00,27.36,27.37,27.36,27.37,400
2023-04-05 18:45:00,27.36,27.36,27.36,27.36,100
2023-04-05 17:45:00,27.46,27.46,27.46,27.46,210
2023-04-05 17:30:00,27.46,27.46,27.46,27.46,507
2023-04-05 17:00:00,27.52,27.53,27.5,27.5,700
2023-04-05 16:45:00,27.41,27.41,27.41,27.41,540
2023-04-05 16:30:00,27.48,27.48,27.47,27.47,1500
2023-04-05 16:15:00,27.33,27.56,27.33,27.47,240525
2023-04-05 16:00:00,27.365,27.39,27.26,27.325,1241703
2023-04-05 15:45:00,27.345,27.375,27.29,27.365,553793
2023-04-05 15:30:00,27.23,27.43,27.22,27.345,358769
2023-04-05 15:15:00,27.28,27.29,27.195,27.225,239090
2023-04-05 15:00:00,27.32,27.38,27.28,27.2815,151549
2023-04-05 14:45:00,27.385,27.4475,27.33,27.33,181508
2023-04-05 14:30:00,27.405,27.5,27.385,27.385,261448
2023-04-05 14:15:00,27.355,27.4201,27.33,27.405,411964
2023-04-05 14:00:00,27.35,27.36,27.305,27.355,116231
2023-04-05 13:45:00,27.365,27.45,27.34,27.345,178425
2023-04-05 13:30:00,27.32,27.41,27.31,27.36,183312
2023-04-05 13:15:00,27.2898,27.34,27.25,27.31,162544
2023-04-05 13:00:00,27.35,27.355,27.26,27.29,136363
2023-04-05 12:45:00,27.2931,27.38,27.22,27.35,316970
2023-04-05 12:30:00,27.27,27.4075,27.24,27.3,335638
2023-04-05 12:15:00,27.245,27.325,27.125,27.265,290915
2023-04-05 12:00:00,27.295,27.31,27.1921,27.24,187112
2023-04-05 11:45:00,27.38,27.415,27.265,27.295,345655
2023-04-05 11:30:00,27.63,27.63,27.36,27.385,556696
2023-04-05 11:15:00,27.55,27.7,27.52,27.64,317595
2023-04-05 11:00:00,27.56,27.635,27.5,27.55,336679
2023-04-05 10:45:00,27.67,27.79,27.56,27.56,307527
2023-04-05 10:30:00,27.8,27.89,27.665,27.678,324006
2023-04-05 10:15:00,27.94,27.99,27.71,27.81,241996
2023-04-05 10:00:00,27.81,27.95,27.755,27.9499,218791
2023-04-05 09:45:00,27.79,28.04,27.68,27.82,422227
2023-04-05 09:30:00,27.87,27.87,27.85,27.85,1485
2023-04-05 09:00:00,27.7,27.7,27.7,27.7,100
2023-04-05 08:45:00,27.85,27.85,27.85,27.85,1050
2023-04-05 08:15:00,27.98,27.99,27.98,27.99,291
2023-04-05 07:15:00,27.99,27.99,27.99,27.99,1968
2023-04-05 06:00:00,27.9,27.9,27.9,27.9,100
2023-04-04 20:00:00,28.15,28.15,28.15,28.15,228
2023-04-04 19:30:00,28.1,28.15,28.1,28.15,933
2023-04-04 18:30:00,28.01,28.01,28.0,28.0,1000
2023-04-04 17:45:00,28.0,28.0,28.0,28.0,500
